sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname,label
1.0,0.0,11.078847,,,,,,,0.0,5162.0,1.9631,,,,3503.83,16.8105,14.551,16.5831,EPIC 211621961,0
1.0,0.0,0.530431,,,,,,,0.0,5666.31,1.49032,1.01,-0.0824,4.09583,514.007,12.729,10.993,12.5508,EPIC 211625003,0
1.0,0.0,0.747734,,,,,,,0.0,8498.37,1.65596,2.11,-0.426,4.32425,1405.01,12.716,12.305,12.8036,EPIC 211626490,0
1.0,0.0,0.69719,,,,,,,0.0,5535.52,1.45971,0.97,0.099,4.0963,974.491,14.258,12.379,14.1809,EPIC 211630537,0
1.0,0.0,0.884004,,,,,,,0.0,5119.55,0.742353,0.86,-0.238,4.63135,363.727,14.133,11.713,13.7903,EPIC 211631904,0
1.0,0.0,0.543877,,,,,,,0.0,6177.78,1.36241,1.18,-0.4486,4.24133,585.582,12.766,11.321,12.6247,EPIC 211638883,0
1.0,0.0,6.741846,,,,,,,0.0,4861.09,2.13528,,-0.013,,1574.3,15.672,12.673,15.0478,EPIC 211639283,0
1.0,0.0,2.044175,,,,,,,0.0,5480.16,2.49927,0.96,-0.5084,3.62471,1152.34,13.772,11.669,13.3243,EPIC 211644647,0
1.0,0.0,0.516235,,,,,,,0.0,7701.0,2.08947,1.81,,4.05568,2574.17,14.04,13.203,13.9583,EPIC 211651743,0
1.0,0.0,0.635238,,,,,,,0.0,4743.31,0.919305,0.76,-0.434,4.39196,599.928,15.395,12.5,14.8929,EPIC 211662047,0
1.0,0.0,0.544418,,,,,,,0.0,5076.71,1.06871,0.85,-0.036,4.30977,655.349,14.583,12.688,14.3613,EPIC 211663508,0
1.0,0.0,0.698333,,,,,,,0.0,4081.0,0.664517,0.64,,4.59923,405.703,16.19,12.894,15.7351,EPIC 211664543,0
1.0,0.0,2.5819,0.0368,,1.9422,,,,0.0,,,,,,774.157,13.318,11.853,13.2136,EPIC 211705502,0
